iter	RMSE
0	0.07285572153
1	0.07139123634
2	0.06964325119
3	0.06782688659
4	0.06583603656
5	0.06416504893
6	0.06256841091
7	0.06108741082
8	0.05962818471
9	0.05846830114
10	0.05735669453
11	0.05602635541
12	0.05446515729
13	0.05318626348
14	0.05194566586
15	0.05075120641
16	0.04962238741
17	0.04830205725
18	0.04724445389
19	0.04627637929
20	0.04512164472
21	0.04417266339
22	0.0432671956
23	0.04256913386
24	0.041631009
25	0.04068912468
26	0.03982706926
27	0.0390699755
28	0.03836253916
29	0.03767470238
30	0.03679106268
31	0.03608287572
32	0.03519141021
33	0.03450955844
34	0.03378612427
35	0.03310429285
36	0.03247922451
37	0.03187436828
38	0.03123303287
39	0.03065421389
40	0.03010911193
41	0.02972363956
42	0.0292633867
43	0.02870344749
44	0.02825622412
45	0.027796684
46	0.02729076314
47	0.02692034125
48	0.02655092935
49	0.0262288803
