Cluster_ID,Crop,Mean_SAR_June06,Mean_SAR_June19,Mean_SAR_Aug14,Mean_SAR_Oct13
0,Rice,52.96835708618164,54.671836853027344,63.00849151611328,65.22956848144531
1,Cotton,51.17319869995117,56.320159912109375,51.49675750732422,51.86174392700195
2,Maize,53.87807083129883,64.86410522460938,58.369388580322266,57.33317184448242
3,Bajra,30.074111938476562,48.25532913208008,39.8138313293457,40.36408615112305
4,Groundnut,44.53123474121094,37.094947814941406,43.4343147277832,50.041385650634766
